Segment,Station,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,_page,_page_desc
5 Av Elevated Closed 5/31/40,St. Marks Ave.,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Annual Registrations by Station 1940 to 1995, years 1968-1974, Page 61"
5 Av Elevated Closed 5/31/40,Union St.,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Annual Registrations by Station 1940 to 1995, years 1968-1974, Page 61"
5 Av Elevated Closed 5/31/40,3 St.,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Annual Registrations by Station 1940 to 1995, years 1968-1974, Page 61"
5 Av Elevated Closed 5/31/40,9 St.,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Annual Registrations by Station 1940 to 1995, years 1968-1974, Page 61"
5 Av Elevated Closed 5/31/40,16 St.,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Annual Registrations by Station 1940 to 1995, years 1968-1974, Page 61"
5 Av Elevated Closed 5/31/40,20 St.,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Annual Registrations by Station 1940 to 1995, years 1968-1974, Page 61"
5 Av Elevated Closed 5/31/40,25 St.,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Annual Registrations by Station 1940 to 1995, years 1968-1974, Page 61"
5 Av Elevated Closed 5/31/40,36 St.,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Annual Registrations by Station 1940 to 1995, years 1968-1974, Page 61"
5 Av Elevated Closed 5/31/40,"Cond. Coll. (incl. 40, 46, 52, 58, 65 Sts.)",0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Annual Registrations by Station 1940 to 1995, years 1968-1974, Page 61"
